epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.004,1.11597,3.26245,1.22984,0.43079,0.05392,0.12657,0.08126,1.1627,3.35946,1.23309,0.067112,0.000165266,0.000165266
2,197.149,1.06581,2.86988,1.19333,0.11074,0.32754,0.20822,0.15844,0.95142,2.96306,1.13052,0.0339394,0.000325958,0.000325958
3,293.571,1.05746,2.66677,1.1854,0.41723,0.33038,0.35864,0.26491,0.98849,2.54269,1.1534,0.000760762,0.00048065,0.00048065
4,390.77,1.04018,2.54352,1.19004,0.34186,0.46303,0.37479,0.2689,1.01449,2.7101,1.16558,0.000473,0.000473,0.000473
5,487.26,1.0677,2.46662,1.19835,0.30573,0.4768,0.40089,0.26154,1.04674,2.50709,1.17951,0.000464,0.000464,0.000464
6,584.51,1.02102,2.34525,1.18699,0.37424,0.53823,0.45872,0.33462,0.96601,2.22955,1.14892,0.000455,0.000455,0.000455
7,680.866,1.00197,2.2245,1.16516,0.41777,0.52505,0.49126,0.35788,0.97747,2.04057,1.1505,0.000446,0.000446,0.000446
8,777.63,0.99173,2.16743,1.16683,0.44656,0.55658,0.52188,0.37432,1.0601,2.025,1.18545,0.000437,0.000437,0.000437
9,873.262,0.96789,2.10971,1.15516,0.51491,0.52173,0.56127,0.42719,0.91077,1.87015,1.12066,0.000428,0.000428,0.000428
10,969.251,0.94072,2.02986,1.14735,0.47966,0.44175,0.51519,0.38498,0.94181,2.03729,1.12397,0.000419,0.000419,0.000419
11,1065.35,0.93093,1.98664,1.14671,0.49566,0.49492,0.50641,0.36888,1.02877,2.00496,1.1512,0.00041,0.00041,0.00041
12,1162.97,0.91662,1.93952,1.1334,0.6332,0.55728,0.62467,0.46903,0.90199,1.65348,1.09836,0.000401,0.000401,0.000401
13,1258.86,0.90254,1.89361,1.14062,0.69572,0.59514,0.64081,0.47977,0.91218,1.60959,1.10087,0.000392,0.000392,0.000392
14,1355.32,0.94872,1.79248,1.13263,0.59322,0.59427,0.63196,0.47242,0.89126,1.61979,1.08537,0.000383,0.000383,0.000383
15,1451.94,0.93138,1.79675,1.12764,0.54355,0.63969,0.64255,0.48567,0.90043,1.64872,1.10911,0.000374,0.000374,0.000374
16,1548.64,0.93,1.77313,1.1386,0.56526,0.59677,0.62829,0.45918,0.89808,1.59969,1.09369,0.000365,0.000365,0.000365
17,1643.17,0.87899,1.70901,1.11779,0.68664,0.6257,0.68861,0.51282,0.87617,1.55677,1.07342,0.000356,0.000356,0.000356
18,1737.7,0.8586,1.65702,1.10347,0.72812,0.65545,0.71014,0.53349,0.87141,1.41313,1.09106,0.000347,0.000347,0.000347
19,1833.11,0.85081,1.61653,1.1018,0.64825,0.68934,0.69464,0.51523,0.88433,1.45427,1.08693,0.000338,0.000338,0.000338
20,1929.33,0.86938,1.58156,1.10727,0.66434,0.70133,0.75005,0.55318,0.86308,1.33148,1.06282,0.000329,0.000329,0.000329
21,2021.17,0.8716,1.54798,1.10576,0.6274,0.67154,0.71082,0.54307,0.87487,1.44908,1.06589,0.00032,0.00032,0.00032
22,2112,0.84653,1.48603,1.09496,0.66721,0.7039,0.72546,0.55917,0.86301,1.36348,1.07208,0.000311,0.000311,0.000311
23,2203.34,0.87292,1.52488,1.10657,0.70634,0.67655,0.72425,0.55488,0.87615,1.324,1.09368,0.000302,0.000302,0.000302
24,2295.33,0.82793,1.45334,1.0932,0.65899,0.73187,0.77312,0.5836,0.85167,1.25888,1.07002,0.000293,0.000293,0.000293
25,2390.22,0.82471,1.428,1.08194,0.69942,0.70717,0.75374,0.57804,0.87034,1.30242,1.09934,0.000284,0.000284,0.000284
26,2484.63,0.83875,1.39916,1.09126,0.79466,0.70911,0.77419,0.59535,0.86311,1.24844,1.08128,0.000275,0.000275,0.000275
27,2575.41,0.83065,1.40318,1.10128,0.77538,0.72246,0.77537,0.58225,0.84186,1.26126,1.06134,0.000266,0.000266,0.000266
28,2665.76,0.78331,1.32226,1.06888,0.79487,0.71537,0.79053,0.60598,0.83543,1.1738,1.06493,0.000257,0.000257,0.000257
29,2756.39,0.77356,1.29944,1.07067,0.78227,0.68588,0.77642,0.59725,0.84509,1.16275,1.08256,0.000248,0.000248,0.000248
30,2847.12,0.77181,1.26059,1.06461,0.76029,0.73482,0.77164,0.6002,0.85966,1.16505,1.08088,0.000239,0.000239,0.000239
31,2937.68,0.78149,1.24275,1.07021,0.79699,0.72852,0.7992,0.62772,0.81354,1.13194,1.03518,0.00023,0.00023,0.00023
32,3028.35,0.78583,1.25164,1.07028,0.76504,0.7794,0.82346,0.644,0.83212,1.06277,1.0581,0.000221,0.000221,0.000221
33,3118.54,0.77004,1.2101,1.07375,0.76933,0.77416,0.80492,0.62571,0.83699,1.07974,1.05015,0.000212,0.000212,0.000212
34,3208.44,0.78502,1.23815,1.08017,0.79348,0.7165,0.79566,0.62193,0.83592,1.15268,1.04505,0.000203,0.000203,0.000203
35,3301.14,0.75937,1.21014,1.06565,0.79097,0.72751,0.80262,0.62374,0.79838,1.10867,1.04879,0.000194,0.000194,0.000194
36,3395.64,0.7645,1.19138,1.06128,0.7687,0.74773,0.81348,0.63241,0.79705,1.06939,1.03151,0.000185,0.000185,0.000185
37,3489.27,0.77289,1.18702,1.07011,0.84422,0.75835,0.82967,0.64002,0.83041,1.02626,1.05341,0.000176,0.000176,0.000176
