epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.272,1.09996,2.73188,1.34143,0.55624,0.27528,0.24337,0.16587,1.17197,8.64726,1.72906,0.0672773,0.000330532,0.000330532
2,918.327,1.17651,2.52088,1.44507,0.20447,0.4519,0.18062,0.09738,1.39438,7.74328,1.83722,0.0342667,0.000653244,0.000653244
3,1365.37,1.18285,2.44012,1.4746,0.24627,0.39931,0.27823,0.16077,1.34897,3.00349,1.78139,0.0012454,0.000965289,0.000965289
4,1814.72,1.1697,2.32265,1.46996,0.2641,0.43801,0.29738,0.17697,1.29537,2.99829,1.75721,0.000952,0.000952,0.000952
5,2267.05,1.15533,2.27738,1.46478,0.46428,0.29877,0.35812,0.22082,1.23394,2.37809,1.59913,0.000936,0.000936,0.000936
6,2717.5,1.15211,2.18274,1.47022,0.40116,0.43886,0.41585,0.24778,1.24659,2.27999,1.60918,0.00092,0.00092,0.00092
7,3163.22,1.10548,2.03841,1.45345,0.53474,0.42373,0.49086,0.30663,1.1709,2.13477,1.62699,0.000904,0.000904,0.000904
8,3613.28,1.1009,1.9568,1.43237,0.47028,0.54137,0.52925,0.34599,1.16616,1.79315,1.57169,0.000888,0.000888,0.000888
9,4058.96,1.05244,1.97126,1.40495,0.41921,0.50234,0.46071,0.31636,1.14932,2.05892,1.56484,0.000872,0.000872,0.000872
10,4504.7,1.0161,1.86776,1.38621,0.46703,0.5149,0.51652,0.34572,1.17969,1.78307,1.58828,0.000856,0.000856,0.000856
11,4950.93,1.02139,1.85542,1.38249,0.63694,0.58759,0.62879,0.42655,1.06089,1.62476,1.51767,0.00084,0.00084,0.00084
12,5397.17,1.01423,1.78826,1.38365,0.49877,0.54735,0.54983,0.36537,1.19859,2.10905,1.62111,0.000824,0.000824,0.000824
13,5844.1,0.99258,1.76056,1.38306,0.46772,0.65089,0.58153,0.41911,1.04685,1.65976,1.50853,0.000808,0.000808,0.000808
14,6288.78,0.97464,1.60977,1.34837,0.47174,0.60183,0.58663,0.40569,1.05086,1.62614,1.47898,0.000792,0.000792,0.000792
15,6735.64,0.98038,1.63291,1.33767,0.49502,0.61477,0.58491,0.41318,1.04995,1.61485,1.46148,0.000776,0.000776,0.000776
16,7179.28,0.94323,1.61368,1.32956,0.49946,0.59425,0.59324,0.41803,1.02981,1.58148,1.4491,0.00076,0.00076,0.00076
17,7623.91,0.93868,1.52199,1.32865,0.53073,0.69285,0.66708,0.48371,1.01564,1.35814,1.45552,0.000744,0.000744,0.000744
18,8068.93,0.89678,1.45195,1.29599,0.59859,0.60306,0.62785,0.43718,1.0356,1.67016,1.51435,0.000728,0.000728,0.000728
19,8512.39,0.90526,1.43909,1.30811,0.70131,0.66291,0.7002,0.51388,1.01318,1.3554,1.49108,0.000712,0.000712,0.000712
20,8956.74,0.90613,1.42774,1.30094,0.62613,0.66498,0.71156,0.50731,0.99317,1.27619,1.4976,0.000696,0.000696,0.000696
21,9401.11,0.90627,1.41657,1.30613,0.67778,0.58986,0.67193,0.48064,1.00476,1.34258,1.47941,0.00068,0.00068,0.00068
22,9844.72,0.87738,1.3143,1.28313,0.65757,0.62974,0.67642,0.49689,0.95082,1.353,1.45215,0.000664,0.000664,0.000664
23,10288.3,0.87512,1.34852,1.28303,0.65551,0.69864,0.74391,0.53653,0.91735,1.20988,1.42666,0.000648,0.000648,0.000648
24,10732,0.86014,1.28296,1.27548,0.70102,0.63243,0.72371,0.54123,0.91585,1.234,1.40364,0.000632,0.000632,0.000632
25,11175.7,0.85832,1.28694,1.26649,0.68041,0.74375,0.75564,0.55882,0.93736,1.16933,1.43344,0.000616,0.000616,0.000616
26,11619.9,0.82149,1.22039,1.25638,0.71433,0.70285,0.74337,0.55301,0.98905,1.17559,1.46888,0.0006,0.0006,0.0006
27,12063.2,0.84782,1.27044,1.27263,0.76299,0.6053,0.7275,0.55754,0.91722,1.26376,1.42827,0.000584,0.000584,0.000584
28,12506.7,0.80039,1.13764,1.22129,0.70626,0.6241,0.72898,0.55711,0.90647,1.20688,1.38911,0.000568,0.000568,0.000568
29,12951.6,0.77587,1.12217,1.22436,0.63995,0.75766,0.75251,0.56078,0.96135,1.19331,1.4486,0.000552,0.000552,0.000552
30,13411.5,0.78917,1.09851,1.22719,0.72493,0.71336,0.76897,0.57334,0.90946,1.0783,1.40529,0.000536,0.000536,0.000536
31,13855,0.76214,1.04891,1.21737,0.64958,0.76217,0.77269,0.5722,0.91659,1.06251,1.41787,0.00052,0.00052,0.00052
32,14298.7,0.77501,1.0422,1.21659,0.79443,0.6834,0.77694,0.57657,0.92854,1.08445,1.41809,0.000504,0.000504,0.000504
33,14741.5,0.76783,1.02427,1.21513,0.78616,0.74732,0.78702,0.59222,0.92774,1.04909,1.4274,0.000488,0.000488,0.000488
34,15185.1,0.78418,1.05803,1.22288,0.73297,0.73986,0.78952,0.60128,0.89505,1.00647,1.40749,0.000472,0.000472,0.000472
35,15628.1,0.74298,0.99519,1.20538,0.72147,0.69343,0.7684,0.57284,0.89749,1.02221,1.41936,0.000456,0.000456,0.000456
36,16071,0.72918,0.97942,1.18393,0.79831,0.71201,0.81523,0.61994,0.90846,0.98131,1.41868,0.00044,0.00044,0.00044
37,16514.5,0.73411,0.97798,1.18513,0.74864,0.70958,0.76843,0.59413,0.8739,1.03321,1.3814,0.000424,0.000424,0.000424
38,16958.1,0.73672,0.99146,1.19894,0.78365,0.67502,0.77337,0.57671,0.93474,1.01064,1.45725,0.000408,0.000408,0.000408
39,17400.9,0.69517,0.92043,1.17437,0.74276,0.77785,0.81204,0.59081,0.91839,0.94955,1.43602,0.000392,0.000392,0.000392
40,17844.2,0.72664,0.90943,1.17843,0.81499,0.68481,0.78282,0.59193,0.90701,0.97059,1.41854,0.000376,0.000376,0.000376
41,18285.9,0.58611,0.66732,1.11381,0.68629,0.71691,0.76485,0.58147,0.9344,1.04097,1.4776,0.00036,0.00036,0.00036
42,18728.3,0.57369,0.60746,1.09596,0.72024,0.74656,0.79069,0.58905,0.87513,1.0148,1.4309,0.000344,0.000344,0.000344
43,19170.5,0.54618,0.59036,1.08809,0.73366,0.71741,0.77518,0.59086,0.86848,0.96914,1.39653,0.000328,0.000328,0.000328
44,19612.3,0.54021,0.58363,1.07398,0.7197,0.72584,0.77331,0.58773,0.89266,0.97808,1.43098,0.000312,0.000312,0.000312
